zip,state,city,county,lat,lng
32003,FL,Fleming Island,Clay,30.0933,-81.719
32004,FL,Ponte Vedra Beach,Saint Johns,30.2397,-81.3856
32006,FL,Fleming Island,Clay,30.107,-81.7167
32007,FL,Bostwick,Putnam,29.7996,-81.6273
32008,FL,Branford,Suwannee,29.9395,-82.8993
32009,FL,Bryceville,Nassau,30.4193,-81.9724
32011,FL,Callahan,Nassau,30.552,-81.8145
32013,FL,Day,Lafayette,30.1941,-83.2913
32024,FL,Lake City,Columbia,30.1055,-82.6878
32025,FL,Lake City,Columbia,30.1601,-82.6396
32026,FL,Raiford,Union,30.0699,-82.1927
32030,FL,Doctors Inlet,Clay,30.1056,-81.769
32033,FL,Elkton,Saint Johns,29.7882,-81.462
32034,FL,Fernandina Beach,Nassau,30.6697,-81.4626
32035,FL,Fernandina Beach,Nassau,30.6697,-81.4626
32038,FL,Fort White,Columbia,29.9207,-82.6879
32040,FL,Glen Saint Mary,Baker,30.2861,-82.2041
32041,FL,Yulee,Nassau,30.6233,-81.5902
32042,FL,Graham,Bradford,29.9689,-82.1226
32043,FL,Green Cove Springs,Clay,29.9983,-81.7647
32044,FL,Hampton,Bradford,29.8575,-82.1483
32046,FL,Hilliard,Nassau,30.6884,-81.9345
32050,FL,Middleburg,Clay,30.0689,-81.8604
32052,FL,Jasper,Hamilton,30.5029,-82.9322
32053,FL,Jennings,Hamilton,30.5482,-83.135
32054,FL,Lake Butler,Union,30.0035,-82.3828
32055,FL,Lake City,Columbia,30.2702,-82.6254
32056,FL,Lake City,Columbia,30.1897,-82.6393
32058,FL,Lawtey,Bradford,30.0472,-82.1055
32059,FL,Lee,Madison,30.3979,-83.2844
32060,FL,Live Oak,Suwannee,30.1759,-83.0304
32061,FL,Lulu,Columbia,30.0754,-82.5385
32062,FL,Mc Alpin,Suwannee,30.1509,-82.9662
32063,FL,Macclenny,Baker,30.2737,-82.1325
32064,FL,Live Oak,Suwannee,30.2956,-82.9844
32065,FL,Orange Park,Clay,30.1382,-81.7742
32066,FL,Mayo,Lafayette,30.04,-83.1462
32067,FL,Orange Park,Clay,30.1661,-81.7065
32068,FL,Middleburg,Clay,30.084,-81.8645
32071,FL,O Brien,Suwannee,30.0381,-82.93
32072,FL,Olustee,Baker,30.2041,-82.4287
32073,FL,Orange Park,Clay,30.1637,-81.7291
32079,FL,Penney Farms,Clay,29.9849,-81.8022
32080,FL,Saint Augustine,Saint Johns,29.7964,-81.2649
32081,FL,Ponte Vedra,Saint Johns,30.1204,-81.4128
32082,FL,Ponte Vedra Beach,Saint Johns,30.1223,-81.3627
32083,FL,Raiford,Union,30.0704,-82.2001
32084,FL,Saint Augustine,Saint Johns,29.9175,-81.3668
32085,FL,Saint Augustine,Saint Johns,29.9377,-81.4206
32086,FL,Saint Augustine,Saint Johns,29.8285,-81.3237
32087,FL,Sanderson,Baker,30.2522,-82.2729
32091,FL,Starke,Bradford,29.9583,-82.1185
32092,FL,Saint Augustine,Saint Johns,29.9475,-81.5264
32094,FL,Wellborn,Suwannee,30.1796,-82.8505
32095,FL,Saint Augustine,Saint Johns,30.011,-81.4108
32096,FL,White Springs,Hamilton,30.3387,-82.7765
32097,FL,Yulee,Nassau,30.6222,-81.5906
32099,FL,Jacksonville,Duval,30.3375,-81.7686
32102,FL,Astor,Lake,29.165,-81.5399
32105,FL,Barberville,Volusia,29.2005,-81.4065
32110,FL,Bunnell,Flagler,29.4562,-81.3244
32111,FL,Candler,Marion,29.0607,-81.969
32112,FL,Crescent City,Putnam,29.4272,-81.5579
32113,FL,Citra,Marion,29.3918,-82.1062
32114,FL,Daytona Beach,Volusia,29.2012,-81.0371
32115,FL,Daytona Beach,Volusia,29.2108,-81.0228
32116,FL,Daytona Beach,Volusia,29.1091,-80.9843
32117,FL,Daytona Beach,Volusia,29.2353,-81.0658
32118,FL,Daytona Beach,Volusia,29.2219,-81.0095
32119,FL,Daytona Beach,Volusia,29.16,-81.0269
32120,FL,Daytona Beach,Volusia,29.2108,-81.0228
32121,FL,Daytona Beach,Volusia,29.2108,-81.0228
32122,FL,Daytona Beach,Volusia,29.2108,-81.0228
32123,FL,Port Orange,Volusia,29.1383,-80.9956
32124,FL,Daytona Beach,Volusia,29.1419,-81.1402
32125,FL,Daytona Beach,Volusia,29.2108,-81.0228
32126,FL,Daytona Beach,Volusia,29.2108,-81.0228
32127,FL,Port Orange,Volusia,29.1383,-80.9956
32128,FL,Port Orange,Volusia,29.1383,-80.9956
32129,FL,Port Orange,Volusia,29.1372,-81.0241
32130,FL,De Leon Springs,Volusia,29.1166,-81.3488
32131,FL,East Palatka,Putnam,29.6609,-81.5879
32132,FL,Edgewater,Volusia,28.9818,-80.9103
32133,FL,Eastlake Weir,Marion,29.0088,-81.9094
32134,FL,Fort Mc Coy,Marion,29.391,-81.8551
32135,FL,Palm Coast,Flagler,29.4661,-81.2828
32136,FL,Flagler Beach,Flagler,29.475,-81.1303
32137,FL,Palm Coast,Flagler,29.5565,-81.219
32138,FL,Grandin,Putnam,29.7277,-81.9184
32139,FL,Georgetown,Putnam,29.3842,-81.6183
32140,FL,Florahome,Putnam,29.7581,-81.8622
32141,FL,Edgewater,Volusia,28.9455,-80.8969
32142,FL,Palm Coast,Flagler,29.4661,-81.2828
32143,FL,Palm Coast,Flagler,29.585,-81.2078
32145,FL,Hastings,Saint Johns,29.7051,-81.4909
32147,FL,Hollister,Putnam,29.6227,-81.8137
32148,FL,Interlachen,Putnam,29.627,-81.8894
32149,FL,Interlachen,Putnam,29.6242,-81.8926
32157,FL,Lake Como,Putnam,29.4839,-81.5729
32158,FL,Lady Lake,Lake,28.9175,-81.9229
32159,FL,Lady Lake,Lake,28.9299,-81.9256
32160,FL,Lake Geneva,Clay,29.7683,-81.9907
32162,FL,The Villages,Sumter,28.9341,-81.9599
32163,FL,The Villages,Sumter,28.9338,-81.9914
32164,FL,Palm Coast,Flagler,29.4861,-81.2045
32168,FL,New Smyrna Beach,Volusia,29.0247,-80.9584
32169,FL,New Smyrna Beach,Volusia,29.0172,-80.8885
32170,FL,New Smyrna Beach,Volusia,29.0258,-80.927
32173,FL,Ormond Beach,Volusia,29.2858,-81.0559
32174,FL,Ormond Beach,Volusia,29.2833,-81.0882
32175,FL,Ormond Beach,Volusia,29.2858,-81.0559
32176,FL,Ormond Beach,Volusia,29.3222,-81.0584
32177,FL,Palatka,Putnam,29.6577,-81.6595
32178,FL,Palatka,Putnam,29.6486,-81.6376
32179,FL,Ocklawaha,Marion,29.0643,-81.8857
32180,FL,Pierson,Volusia,29.2226,-81.4353
32181,FL,Pomona Park,Putnam,29.5002,-81.5915
32182,FL,Orange Springs,Marion,29.4856,-81.9589
32183,FL,Ocklawaha,Marion,29.0597,-81.9051
32185,FL,Putnam Hall,Putnam,29.7368,-81.958
32187,FL,San Mateo,Putnam,29.5888,-81.5921
32189,FL,Satsuma,Putnam,29.5594,-81.6406
32190,FL,Seville,Volusia,29.3201,-81.5279
32192,FL,Sparr,Marion,29.3268,-82.1046
32193,FL,Welaka,Putnam,29.4905,-81.653
32195,FL,Weirsdale,Marion,28.9782,-81.8932
32198,FL,Daytona Beach,Volusia,29.2108,-81.0228
32201,FL,Jacksonville,Duval,30.3894,-81.6808
32202,FL,Jacksonville,Duval,30.3299,-81.6517
32203,FL,Jacksonville,Duval,30.3228,-81.547
32204,FL,Jacksonville,Duval,30.3189,-81.6854
32205,FL,Jacksonville,Duval,30.3172,-81.722
32206,FL,Jacksonville,Duval,30.3511,-81.6488
32207,FL,Jacksonville,Duval,30.2908,-81.6321
32208,FL,Jacksonville,Duval,30.3937,-81.6889
32209,FL,Jacksonville,Duval,30.3584,-81.692
32210,FL,Jacksonville,Duval,30.2687,-81.7473
32211,FL,Jacksonville,Duval,30.348,-81.5882
32212,FL,Jacksonville,Duval,30.2132,-81.69
32214,FL,Jacksonville,Duval,30.3449,-81.6831
32216,FL,Jacksonville,Duval,30.2787,-81.5831
32217,FL,Jacksonville,Duval,30.2407,-81.617
32218,FL,Jacksonville,Duval,30.4507,-81.6626
32219,FL,Jacksonville,Duval,30.4034,-81.7635
32220,FL,Jacksonville,Duval,30.329,-81.8176
32221,FL,Jacksonville,Duval,30.2837,-81.8202
32222,FL,Jacksonville,Duval,30.2292,-81.8131
32223,FL,Jacksonville,Duval,30.1548,-81.63
32224,FL,Jacksonville,Duval,30.3031,-81.4404
32225,FL,Jacksonville,Duval,30.351,-81.5061
32226,FL,Jacksonville,Duval,30.4735,-81.5448
32227,FL,Jacksonville,Duval,30.3802,-81.416
